File	ID	Mapped	Eff	QC	Order
SRR9099390	ES	30441896	0.819	1	1
SRR9099389	ES	29387672	0.8855	1	2
SRR9099388	ES	29643787	0.8877	1	3
SRR9099387	ES	27846847	0.8622	1	4
SRR9099386	AFX	39785682	0.8843	1	5
SRR9099385	AFX	32347041	0.8973	1	6
SRR9099384	AFX	36215414	0.8912	1	7
SRR9099383	AF	33720149	0.9094	1	8
SRR9099382	AF	35235841	0.9058	1	9
SRR9099381	AF	38278228	0.907	1	10
SRR9099380	AXR2	28180869	0.8805	1	11
SRR9099379	AXR2	32290013	0.8979	1	12
SRR9099378	AXR2	29905624	0.9085	1	13
SRR9099377	AXR1	34042299	0.8826	1	14
SRR9099376	AXR1	36215857	0.8931	1	15
SRR9099375	AXR1	30808334	0.8996	1	16
