File	ID	ID2	Counts	Eff	QC	Order
SRR9099345	FS1	fSC	11754253	61.56%	1	1
SRR9099346	FS1	fSC	10004248	62.36%	1	2
SRR9099347	FS1	fSC	15167266	61.29%	1	3
SRR9099348	FS2	fSC	14817878	65.20%	1	4
SRR9099349	FS2	fSC	11460436	68.69%	1	5
SRR9099350	FS2	fSC	21775746	66.97%	1	6
SRR9099351	AF	EpiSC	9417257	58.05%	1	7
SRR9099352	AF	EpiSC	14078904	57.10%	1	8
SRR9099353	AF	EpiSC	13115541	60.12%	1	9
SRR9099354	AFX	EpiSC	18714816	62.96%	1	10
SRR9099355	AFX	EpiSC	10194970	62.34%	1	11
SRR9099356	AFX	EpiSC	15355321	62.02%	1	12
SRR9099357	E5.0	Emb	10572685	67.24%	1	13
SRR9099358	E5.0	Emb	7435876	58.63%	1	14
SRR9099359	E5.0	Emb	10753359	57.21%	1	15
SRR9099360	E5.5	Emb	12276821	60.85%	1	16
SRR9099361	E5.5	Emb	11431718	60.17%	1	17
SRR9099362	E5.5	Emb	13609153	59.78%	1	18
SRR9099363	E6.0	Emb	9977410	64.08%	1	19
SRR9099364	E6.0	Emb	14608193	56.10%	1	20
SRR9099365	E6.0	Emb	11736367	54.90%	1	21
