Geneid	rESC_PVC_WT_1_S21_R1_001Aligned.sortedByCoord.out.bam	rESC_PVC_WT_2_S22_R1_001Aligned.sortedByCoord.out.bam	rESC_PVC_HT_1_S23_R1_001Aligned.sortedByCoord.out.bam	rESC_PVC_HT_2_S24_R1_001Aligned.sortedByCoord.out.bam	N11_Epi1_S11_R1_001Aligned.sortedByCoord.out.bam	N12_Epi2_S12_R1_001Aligned.sortedByCoord.out.bam	rEpiSC_NTAV_16_2_S6_R1_001Aligned.sortedByCoord.out.bam	Rat_ES_1_S13_R1_001Aligned.sortedByCoord.out.bam	Rat_ES_2_S14_R1_001Aligned.sortedByCoord.out.bam	rEpiSC_NTAV_16_1_S5_R1_001Aligned.sortedByCoord.out.bam	rEpiSC_WT_21_2_S2_R1_001Aligned.sortedByCoord.out.bam	rEpiSC_WT_21_1_S1_R1_001Aligned.sortedByCoord.out.bam	rEpiSC_WT_23_1_S3_R1_001Aligned.sortedByCoord.out.bam	rEpiSC_WT_23_2_S4_R1_001Aligned.sortedByCoord.out.bam
Mar-01	8	3	7	5	17	41	5	5	4	2	2	0	8	3
Mar_01_1	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Sep-01	1	22	1	9	79	79	46	8	4	15	19	23	15	18
Mar-02	1239	672	495	672	742	794	206	389	250	132	148	121	116	125
Mar_02_2	217	85	70	89	162	272	112	107	70	59	31	41	38	39
Sep-02	15606	6696	5409	6752	6519	6675	2987	5297	3312	2049	2113	1757	1813	1990
Mar-03	79	14	26	16	43	24	8	21	16	14	15	14	15	9
Sep-03	43	32	20	11	176	150	51	6	6	34	33	22	29	19
Mar-04	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Sep-04	1080	593	478	511	94	187	87	244	199	46	61	36	43	65
Mar-05	12403	4544	4131	5235	8346	7248	4352	3707	2153	3073	2985	2461	2676	2913
Sep-05	188	78	66	77	157	315	28	25	13	25	13	31	15	15
Mar-06	1302	334	370	455	2097	1998	1511	455	335	1064	1012	873	858	918
Sep-06	12	5	0	0	2331	2322	948	0	1	716	712	671	649	587
Mar-07	8251	3254	2715	3494	4149	3537	2432	2801	1847	1743	1413	1479	1458	1564
Sep-07	5661	2241	1930	2147	3845	3013	2324	1916	1194	1675	1360	1275	1255	1428
Mar-08	705	238	236	228	671	759	244	180	91	137	195	187	167	210
Sep-08	1269	764	735	958	404	649	163	727	453	125	123	111	115	135
Mar-09	553	282	154	210	95	91	27	211	141	27	29	17	25	28
Sep-09	381	149	78	104	487	347	143	41	43	142	96	97	110	103
Mar-10	3	0	0	1	6	7	0	3	2	0	0	1	1	0
Sep-10	54	37	42	38	600	765	164	51	22	123	138	107	121	112
Mar-11	0	0	0	0	6	3	0	0	0	1	3	1	1	1
Sep-11	4426	1779	1220	1596	5091	3610	3369	1302	822	2596	2186	1923	1858	2015
Sep-12	0	0	0	0	4	5	1	0	0	3	0	2	0	2
